Job_ID,Job_Title,Company,Location,Salary,Experience,Skills,Education,Job_Type,Posted_Days_Ago,Applicants,Rating,Department,Industry,Status
16,Business Analyst,ByteWorks, ,,0-2,"Python, NumPy, SQL",BSc,Contract,40,224,4.6,AI,E-commerce,On Hold
17,Business Analyst,FutureAI,Bengaluru,581628,3-6,"Statistics, Tableau, SQL",BCA,Contract,52,351,4.1,AI,E-commerce,Closed
18,BI Developer,InsightIQ,Chennai,3.1 LPA,3-6,"Python, SQL, Pandas, NumPy, Power BI",,Remote,143,4,2.8,IT,E-commerce,Open
19,Data Engineer,AnalyticsHub,Hyderabad,387721,5+,"Azure, Statistics, Power BI, Excel, SQL",B.Tech,Contract,143,452,4.7,Data Engineering,Finance,Open
20,ML Engineer,FutureAI,Pune,,,"Power BI, Pandas, Python, SQL",,Full Time,97,446,2.6,Business,Finance,Open
21,BI Developer,ByteWorks,Delhi,1135643,5+,"Machine Learning, Tableau, Excel, SQL, Python, Pandas",M.Tech,Contract,7,59,4.7,AI,Finance,On Hold
22,Power BI Developer,AnalyticsHub,Bengaluru,957829,Fresher,"Python, SQL, Pandas, Power BI, Machine Learning",,Remote,0,266,4.8,Data Engineering,Finance,Closed
23,Data Engineer,VisionData,Bengaluru,,3-6,"SQL, Machine Learning, Statistics, NumPy, Python, Power BI",BCA,Internship,107,340,4.9,IT,E-commerce,On Hold
24,SQL Developer,SmartSoft,Chennai,,5+,"Pandas, Statistics, Python, Power BI, Azure",BCA,Remote,43,337,2.7,Data Engineering,E-commerce,Closed
25,ML Engineer,SmartSoft,Bhopal,717605,2-5,"Excel, Tableau, Azure",MCA,Internship,178,196,3.7,IT,Finance,On Hold
26,Data Analyst,AnalyticsHub,Bhopal,,2-5,"SQL, Pandas, Excel",BCA,Remote,170,271,5.0,Data Engineering,Healthcare,Closed
27,sql developer ,AnalyticsHub,Bengaluru,,2-5,"Statistics, NumPy, Power BI, Machine Learning, Excel, Pandas",B.Tech,Contract,60,139,3.3,Data Engineering,IT,Open
28,Data Engineer,SmartSoft,Delhi,,Fresher,"Excel, Pandas, Power BI, Machine Learning",BCA,Remote,99,463,4.4,Analytics,E-commerce,Closed
29,SQL Developer,AnalyticsHub,,14.2 LPA,2-5,"Python, Machine Learning, Tableau, Pandas, Excel, Statistics",MCA,Full Time,99,172,4.2,Business,Finance,Closed
30,Data Scientist,VisionData,Pune,1541289,,"Azure, Statistics, Python, Excel",MCA,Internship,12,133,3.4,IT,Retail,Closed
31,Data Engineer,AnalyticsHub,Bhopal,1286304,,"Pandas, Tableau, Azure, Power BI, Python",,Full Time,7,486,3.1,Analytics,E-commerce,Open
32,Data Engineer,InsightIQ,Bhopal,,,"Power BI, NumPy, SQL, Tableau",BCA,Contract,27,296,2.6,AI,E-commerce,On Hold
33,Data Scientist,TechNova,PUNE,,3-6,"Pandas, Excel, SQL, Tableau, Machine Learning, NumPy",MCA,Contract,17,259,4.1,Analytics,Retail,Closed
34,BI Developer,SmartSoft,Chennai,5.3 LPA,2-5,"Pandas, Machine Learning, NumPy",,Contract,82,436,3.1,Analytics,Healthcare,Closed
35,SQL Developer,AnalyticsHub,Mumbai,15.8 LPA,,"NumPy, Pandas, Machine Learning, Python",BSc,Contract,71,450,4.0,AI,E-commerce,Open
36,SQL Developer,SmartSoft,Indore,,Fresher,"SQL, Excel, Pandas, Statistics",BSc,Internship,103,354,3.1,Data Engineering,Healthcare,Closed
37,ML Engineer,DataCorp,Hyderabad,,1-3,"Pandas, Statistics, Machine Learning, Power BI, NumPy",B.Tech,Internship,49,110,4.3,AI,E-commerce,On Hold
38,BI Developer,TechNova,Indore,7.5 LPA,3-6,"SQL, Excel, Tableau, Azure, Power BI",BSc,Internship,163,444,4.4,Analytics,IT,On Hold
39,Data Scientist,DataCorp,Delhi,,2-5,"NumPy, Azure, Statistics, Power BI, SQL",B.Tech,Full Time,38,76,4.5,AI,IT,Open
40,BI Developer,VisionData,hyderabad ,,3-6,"Statistics, Pandas, Excel",M.Tech,Full Time,156,491,4.4,IT,Finance,Closed
41,power bi developer ,SmartSoft,Chennai,1457611,1-3,"Power BI, Excel, Azure",B.Tech,Internship,73,361,3.2,Business,IT,On Hold
42,BI Developer,InsightIQ,Bhopal,6.4 LPA,Fresher,"Tableau, Excel, Pandas, Python",BCA,Contract,152,383,4.6,AI,Retail,Open
43,Power BI Developer,ByteWorks,Bengaluru,1218046,Fresher,"Tableau, Pandas, Azure, NumPy, Statistics, Excel",B.Tech,Internship,172,428,4.7,Data Engineering,IT,On Hold
44,Business Analyst,VisionData,Chennai,,Fresher,"Azure, Python, Power BI, Excel, Tableau",MCA,Contract,104,170,3.3,Analytics,Finance,Closed
45,Data Engineer,DataCorp,Delhi,,,"NumPy, Tableau, Pandas, Azure, Statistics, Python",M.Tech,Full Time,168,445,3.9,Business,IT,Open
46,BI Developer,SmartSoft,Chennai,7.0 LPA,Fresher,"Azure, NumPy, Statistics, Pandas, Python",B.Tech,Internship,40,159,3.9,Data Engineering,Retail,Open
47,BI Developer,VisionData,Chennai,,2-5,"SQL, NumPy, Azure, Machine Learning",BCA,Remote,141,74,3.5,Data Engineering,E-commerce,On Hold
48,BI Developer,FutureAI,Chennai,1364803,,"SQL, Tableau, Pandas, Power BI",BCA,Remote,137,247,3.4,Data Engineering,E-commerce,Closed
49,Power BI Developer,VisionData,Pune,,2-5,"Machine Learning, Excel, Statistics, Tableau, NumPy, SQL",B.Tech,Internship,128,494,4.0,Analytics,Retail,Open
50,Data Engineer,VisionData,Bhopal,,,"Python, Power BI, Pandas, NumPy, Machine Learning, SQL",BSc,Remote,81,320,4.3,Business,E-commerce,Open
51,data scientist ,SmartSoft,Pune,489539,5+,"Excel, Tableau, Azure",BSc,Full Time,11,166,4.5,AI,Healthcare,Closed
52,ML Engineer,SmartSoft,Pune,,0-2,"Power BI, Excel, Pandas, Tableau, Machine Learning, SQL",MCA,Contract,117,130,4.2,Business,Healthcare,On Hold
53,BI Developer,SmartSoft,Bengaluru,,0-2,"SQL, NumPy, Machine Learning, Tableau",MCA,Remote,27,121,3.5,AI,E-commerce,Closed
54,SQL Developer,FutureAI,Hyderabad,1738225,3-6,"Python, Pandas, Tableau, Azure, NumPy",BSc,Internship,162,97,4.1,IT,IT,On Hold
55,Data Scientist,FutureAI,Mumbai,8.5 LPA,5+,"Tableau, NumPy, Python",MCA,Internship,51,67,4.5,AI,E-commerce,On Hold
56,Data Scientist,InsightIQ,Hyderabad,,,"Power BI, Tableau, NumPy, Pandas, Azure",,Remote,142,187,2.7,Business,IT,Closed
57,Data Scientist,AnalyticsHub,Chennai,,Fresher,"NumPy, Machine Learning, Tableau",M.Tech,Contract,156,113,4.1,Business,Healthcare,On Hold
58,Power BI Developer,SmartSoft,Mumbai,4.5 LPA,5+,"SQL, Power BI, Python, NumPy, Statistics, Excel",,Remote,150,380,4.3,Business,IT,Closed
59,Data Engineer,ByteWorks,Indore,795164,2-5,"Tableau, Python, Machine Learning, SQL, Excel, NumPy",BSc,Internship,31,485,4.6,Business,IT,On Hold
60,ML Engineer,DataCorp,Hyderabad,6.7 LPA,3-6,"Azure, Python, Statistics, Pandas",BCA,Internship,84,396,2.9,Data Engineering,IT,Closed
61,business analyst ,TechNova,Mumbai,665946,,"Power BI, Statistics, Tableau, Pandas",BCA,Contract,4,89,3.2,IT,Retail,On Hold
62,sql developer ,AnalyticsHub,Indore,1059250,5+,"SQL, NumPy, Statistics",,Contract,117,329,4.9,Analytics,Retail,Closed
63,BI Developer,ByteWorks,,5.2 LPA,3-6,"SQL, NumPy, Statistics, Python, Pandas, Power BI",M.Tech,Contract,116,258,4.0,Analytics,IT,On Hold
64,Power BI Developer,DataCorp,Mumbai,,2-5,"Pandas, NumPy, Excel, Statistics",BSc,Contract,95,488,2.9,Business,IT,Open
65,Data Engineer,DataCorp,Delhi,1081497,1-3,"SQL, Pandas, Azure",,Remote,13,495,3.2,AI,Healthcare,Open
66,Data Scientist,FutureAI,Hyderabad,,,"Power BI, NumPy, Excel, Pandas",MCA,Full Time,155,475,4.1,AI,IT,Open
67,Data Scientist,InsightIQ,Indore,,Fresher,"Tableau, Machine Learning, Statistics, Python, SQL",,Internship,96,214,3.6,IT,Healthcare,Closed
68,BI Developer,SmartSoft,Delhi,1595700,2-5,"Azure, SQL, Python, Statistics, Pandas",M.Tech,Remote,106,139,3.0,Data Engineering,IT,Closed
69,Data Analyst,AnalyticsHub,Bengaluru,395247,0-2,"SQL, Tableau, NumPy, Statistics, Machine Learning, Power BI",BCA,Contract,74,167,2.8,Business,Retail,Open
70,Data Scientist,VisionData,Indore,,2-5,"Pandas, Statistics, Excel, Tableau",B.Tech,Remote,19,441,3.3,Business,E-commerce,Closed
71,data scientist ,VisionData,PUNE,,0-2,"Tableau, SQL, Pandas, Python, Power BI, Statistics",MCA,Remote,134,40,3.5,AI,Healthcare,Open
72,Data Engineer,InsightIQ,Hyderabad,,Fresher,"Power BI, SQL, Statistics, Tableau, Pandas",BCA,Contract,50,88,4.0,Analytics,Finance,On Hold
73,SQL Developer,FutureAI,Bengaluru,,3-6,"NumPy, Azure, Machine Learning, Pandas, Statistics, Power BI",B.Tech,Contract,129,37,3.3,Business,IT,Open
74,SQL Developer,AnalyticsHub,Mumbai,1363398,3-6,"Tableau, SQL, Statistics, Azure, Pandas",MCA,Internship,15,230,2.8,AI,IT,On Hold
75,Data Engineer,ByteWorks,Bengaluru,10.8 LPA,2-5,"Python, Excel, NumPy, Statistics",MCA,Contract,173,306,2.6,AI,IT,Closed
76,Data Engineer,DataCorp,Pune,13.9 LPA,1-3,"Statistics, Pandas, Tableau",BSc,Remote,33,304,4.3,Analytics,Healthcare,On Hold
77,bi developer ,InsightIQ,Hyderabad,,1-3,"Machine Learning, Power BI, SQL, Azure, Pandas, Excel",MCA,Internship,57,70,2.9,AI,IT,On Hold
78,sql developer ,TechNova,PUNE,5.4 LPA,1-3,"Machine Learning, Power BI, Pandas",,Internship,113,312,3.2,Business,Finance,On Hold
79,SQL Developer,FutureAI,Delhi,,3-6,"Tableau, NumPy, Excel, Power BI",M.Tech,Remote,41,418,3.0,Data Engineering,Finance,Closed
80,bi developer ,DataCorp,Pune,1791915,1-3,"NumPy, Machine Learning, SQL",MCA,Internship,111,46,4.9,IT,Retail,Closed
81,Data Scientist,ByteWorks,Hyderabad,,Fresher,"Pandas, Python, Azure",BSc,Full Time,166,171,4.5,IT,IT,Closed
82,power bi developer ,DataCorp,Bengaluru,6.8 LPA,0-2,"Power BI, NumPy, Statistics, Tableau, Python, Machine Learning",BSc,Full Time,12,122,3.5,Data Engineering,Retail,Open
83,Business Analyst,FutureAI,Delhi,10.7 LPA,Fresher,"NumPy, Statistics, Python",M.Tech,Contract,61,292,3.5,Analytics,E-commerce,Closed
84,Power BI Developer,ByteWorks,Bengaluru,1118840,5+,"Statistics, Azure, Python",B.Tech,Contract,17,176,3.1,Analytics,E-commerce,On Hold
85,SQL Developer,InsightIQ, indore ,,Fresher,"Power BI, Python, Machine Learning, Tableau, Azure",,Remote,9,150,3.0,IT,IT,Closed
86,Data Analyst,ByteWorks,Bengaluru,,Fresher,"Statistics, Pandas, NumPy, Power BI, Python",BSc,Remote,102,380,3.6,Business,Healthcare,Open
87,BI Developer,ByteWorks,Bhopal,9.5 LPA,Fresher,"NumPy, Machine Learning, Tableau, Pandas, Python, Excel",BSc,Contract,78,228,4.0,Business,Finance,On Hold
88,Data Scientist,VisionData,Mumbai,1212136,3-6,"Machine Learning, NumPy, Python, Azure, Power BI, Tableau",,Internship,7,73,4.6,Business,IT,Open
89,Business Analyst,SmartSoft,Mumbai,1102903,1-3,"Excel, Machine Learning, Statistics",MCA,Full Time,146,70,3.8,Business,Healthcare,On Hold
90,BI Developer,FutureAI,Chennai,1346571,0-2,"Excel, SQL, Python, Machine Learning, Statistics",M.Tech,Contract,177,469,5.0,IT,IT,Open
91,Data Engineer,DataCorp,Bengaluru,,1-3,"NumPy, Power BI, Azure",BCA,Internship,92,260,3.1,IT,Finance,Open
92,BI Developer,VisionData,Chennai,1583348,3-6,"Python, Machine Learning, Statistics, Excel, Tableau, SQL",MCA,Remote,147,37,2.8,AI,IT,Closed
93,Power BI Developer,TechNova,Bhopal,14.5 LPA,3-6,"Statistics, Machine Learning, Power BI, Pandas, Tableau, Azure",BCA,Contract,42,82,3.3,IT,Healthcare,On Hold
94,Data Scientist,InsightIQ, indore ,,0-2,"SQL, Tableau, Excel, Machine Learning, Statistics",,Contract,144,21,4.6,Analytics,IT,Open
95,sql developer ,AnalyticsHub,Delhi,,1-3,"Excel, Pandas, Python, Azure, Machine Learning",MCA,Full Time,176,30,2.9,Business,Retail,Closed
96,Power BI Developer,InsightIQ,Mumbai,,3-6,"Machine Learning, Power BI, Azure, Pandas",M.Tech,Full Time,81,123,3.7,AI,Retail,Open
97,Data Engineer,ByteWorks,Hyderabad,9.3 LPA,,"SQL, Python, Tableau, Excel",BCA,Remote,131,239,3.7,AI,Retail,Open
98,Data Analyst,TechNova,Bengaluru,,2-5,"Pandas, Statistics, NumPy",M.Tech,Remote,73,274,2.5,Analytics,Retail,Open
99,Data Engineer,FutureAI,Bhopal,11.6 LPA,2-5,"Machine Learning, Pandas, Azure, Python, Excel",M.Tech,Remote,140,143,4.6,Data Engineering,E-commerce,Open
100,Business Analyst,AnalyticsHub,Delhi,,3-6,"SQL, Pandas, Machine Learning, Statistics",B.Tech,Full Time,9,70,4.3,Business,E-commerce,Closed
101,bi developer ,ByteWorks,Chennai,,5+,"Azure, Statistics, Power BI, NumPy",M.Tech,Contract,121,417,2.5,AI,IT,Closed
102,SQL Developer,InsightIQ,Delhi,1511387,0-2,"Python, NumPy, Tableau, Machine Learning, Statistics",,Internship,8,293,4.9,Analytics,Finance,Open
103,Data Analyst,InsightIQ,Hyderabad,,3-6,"Machine Learning, Pandas, Power BI, Excel, Azure, SQL",BSc,Remote,134,192,3.3,IT,Retail,On Hold
104,BI Developer,AnalyticsHub,Bengaluru,,,"Statistics, Machine Learning, Tableau, NumPy, Excel",BSc,Internship,176,360,3.7,Business,Healthcare,On Hold
105,Data Scientist,ByteWorks,Chennai,,5+,"Tableau, SQL, Pandas, Excel, Power BI",BSc,Remote,54,103,4.6,AI,E-commerce,On Hold
106,ML Engineer,TechNova,Bhopal,16.6 LPA,2-5,"Power BI, SQL, Excel, Statistics, Python",BSc,Remote,25,348,4.4,Analytics,E-commerce,Open
107,ML Engineer,TechNova,Pune,898559,2-5,"NumPy, Azure, Excel, Pandas, Power BI, Machine Learning",BCA,Full Time,101,403,3.7,AI,IT,Open
108,Business Analyst,SmartSoft,Bengaluru,,0-2,"Azure, SQL, Machine Learning, Power BI, Excel",B.Tech,Contract,41,374,3.6,AI,Finance,Open
109,Data Scientist,VisionData,Bhopal,,0-2,"Tableau, Excel, Power BI, Azure, Machine Learning",BCA,Remote,82,479,3.1,AI,Retail,Open
110,ML Engineer,TechNova,Bhopal,,2-5,"Tableau, Machine Learning, Azure, NumPy, Statistics, Pandas",BSc,Internship,103,351,3.8,AI,IT,On Hold
111,Power BI Developer,SmartSoft,Hyderabad,,,"Machine Learning, Excel, Statistics, SQL, NumPy",BCA,Full Time,134,228,3.8,AI,IT,On Hold
112,Data Engineer,SmartSoft,Bhopal,11.0 LPA,5+,"Python, Statistics, Excel",BCA,Remote,23,460,3.8,Analytics,Retail,Open
113,ML Engineer,DataCorp,Indore,1130364,2-5,"NumPy, Python, Azure, Machine Learning, Power BI, Statistics",BSc,Full Time,138,30,4.8,Analytics,Retail,Open
114,Power BI Developer,SmartSoft,Delhi,,2-5,"Pandas, Power BI, Statistics, Azure, Machine Learning",B.Tech,Internship,167,440,3.4,IT,E-commerce,Closed
115,Power BI Developer,AnalyticsHub,Hyderabad,,2-5,"Excel, Python, Statistics, Power BI",BSc,Internship,70,96,4.8,Analytics,IT,On Hold
116,ml engineer ,TechNova,Delhi,1545591,2-5,"Azure, Python, Excel, SQL, Statistics, Machine Learning",BCA,Internship,14,71,3.8,AI,Finance,On Hold
117,BI Developer,FutureAI,Indore,,3-6,"Azure, Machine Learning, Excel, Power BI, SQL",M.Tech,Internship,160,347,3.6,Business,IT,Closed
118,ML Engineer,AnalyticsHub,Bengaluru,,,"Statistics, Machine Learning, Pandas, Excel, SQL, Power BI",,Internship,118,468,2.6,Business,Retail,On Hold
119,Data Engineer,DataCorp,Hyderabad,,Fresher,"Pandas, Excel, Tableau, SQL",BSc,Remote,172,309,4.0,Analytics,Finance,On Hold
120,Data Scientist,SmartSoft,Hyderabad,6.2 LPA,5+,"NumPy, Excel, Machine Learning, Power BI",M.Tech,Internship,101,468,3.1,AI,Healthcare,Closed
121,Data Engineer,AnalyticsHub,Mumbai,,1-3,"Statistics, Machine Learning, Tableau, Power BI, Pandas, NumPy",MCA,Full Time,144,442,3.1,IT,IT,Closed
122,Data Engineer,FutureAI,Chennai,,5+,"Tableau, Power BI, Excel, Statistics, SQL, NumPy",,Remote,117,86,4.3,AI,Finance,Open
123,Power BI Developer,InsightIQ,Hyderabad,1701349,Fresher,"Power BI, Statistics, Python, Tableau, NumPy, Machine Learning",,Internship,2,111,3.8,AI,IT,On Hold
124,bi developer ,TechNova,Delhi,,,"NumPy, Python, Statistics, Tableau, Pandas, Excel",BCA,Full Time,24,268,2.9,IT,E-commerce,On Hold
125,ML Engineer,FutureAI,PUNE,9.9 LPA,5+,"Machine Learning, Tableau, Pandas, Python, Power BI",,Full Time,23,207,3.4,Data Engineering,Retail,Open
126,Data Scientist,TechNova,Hyderabad,,0-2,"Power BI, SQL, NumPy",,Remote,69,23,4.8,AI,E-commerce,On Hold
127,Data Scientist,FutureAI,Pune,,3-6,"Power BI, Machine Learning, Python",BCA,Remote,173,459,3.9,Business,Finance,On Hold
128,Data Engineer,VisionData,Mumbai,504861,Fresher,"Statistics, Machine Learning, Python",,Contract,115,251,3.1,Data Engineering,Retail,Closed
129,Data Scientist,DataCorp,Bengaluru,7.4 LPA,0-2,"Azure, Pandas, SQL, Statistics",MCA,Internship,99,162,3.4,Analytics,IT,Closed
130,Data Scientist,TechNova,Bhopal,,1-3,"Machine Learning, Tableau, SQL, NumPy, Python, Pandas",M.Tech,Full Time,152,306,4.5,Business,IT,Closed
131,BI Developer,FutureAI,Bengaluru,8.7 LPA,2-5,"Pandas, SQL, Excel, Tableau, Azure, Statistics",BCA,Full Time,42,222,3.2,AI,Retail,Open
132,BI Developer,TechNova,Delhi,9.9 LPA,1-3,"Tableau, Excel, NumPy, Azure, Pandas",M.Tech,Remote,84,225,3.3,Data Engineering,Finance,Closed
133,SQL Developer,AnalyticsHub,Mumbai,,2-5,"Azure, Excel, NumPy, Power BI, SQL",BSc,Remote,93,58,4.8,IT,E-commerce,On Hold
134,Data Scientist,VisionData,Chennai,,0-2,"Statistics, Python, NumPy, Machine Learning",,Contract,61,129,4.1,Business,Retail,Open
135,Data Scientist,DataCorp,Hyderabad,,5+,"Azure, NumPy, Pandas, Tableau, Statistics, Excel",,Contract,42,331,4.0,Data Engineering,Retail,Closed
136,SQL Developer,ByteWorks,Delhi,11.4 LPA,2-5,"SQL, Python, Azure, Power BI, NumPy, Tableau",,Internship,88,12,3.7,AI,Retail,Open
137,sql developer ,ByteWorks,Chennai,9.8 LPA,Fresher,"Power BI, Machine Learning, Tableau",MCA,Remote,81,34,3.3,Analytics,IT,Closed
138,SQL Developer,AnalyticsHub,Delhi,,5+,"Power BI, Excel, Azure",BCA,Internship,163,336,3.6,Analytics,E-commerce,Open
139,Data Scientist,InsightIQ,Mumbai,731561,1-3,"Azure, Pandas, Statistics, Python, Machine Learning, SQL",BCA,Remote,29,134,4.2,Business,E-commerce,On Hold
140,Business Analyst,FutureAI,Bhopal,,5+,"Azure, Pandas, Statistics, Tableau, Python",BCA,Contract,30,122,3.3,IT,Healthcare,On Hold
141,Business Analyst,SmartSoft,Pune,,3-6,"Statistics, Pandas, Azure, Tableau",BCA,Remote,73,71,3.0,Business,E-commerce,Open
142,Power BI Developer,SmartSoft,Delhi,,5+,"Python, NumPy, Power BI, SQL, Excel",MCA,Remote,42,42,3.9,IT,Healthcare,Open
143,Data Scientist,DataCorp,Bengaluru,,,"Excel, Statistics, Tableau, SQL, Azure",M.Tech,Contract,138,421,4.4,Business,E-commerce,Open
144,SQL Developer,DataCorp,Hyderabad,851163,0-2,"SQL, Excel, Tableau, Pandas, Python, Statistics",,Contract,156,323,3.6,Data Engineering,Finance,Open
145,BI Developer,FutureAI,Bhopal,,0-2,"Python, Machine Learning, Tableau, NumPy",MCA,Full Time,70,443,4.1,IT,Finance,Open
146,Power BI Developer,SmartSoft,Bhopal,,5+,"Excel, Pandas, NumPy, SQL, Tableau",B.Tech,Remote,131,383,3.2,AI,Retail,Closed
147,Data Scientist,VisionData,Hyderabad,,2-5,"Azure, Python, SQL, Machine Learning, Excel",BCA,Remote,68,165,4.6,AI,E-commerce,On Hold
148,Data Analyst,DataCorp,Pune,,2-5,"Azure, NumPy, Machine Learning, Statistics",MCA,Full Time,109,103,5.0,IT,Healthcare,Open
149,Data Analyst,VisionData,Bengaluru,16.6 LPA,5+,"SQL, Machine Learning, Tableau, Python, Power BI",,Internship,109,335,2.7,Analytics,IT,Open
150,Data Scientist,VisionData,Pune,,2-5,"SQL, Power BI, Excel, Tableau, Machine Learning, NumPy",B.Tech,Internship,98,45,4.3,Analytics,IT,Closed
151,Data Scientist,TechNova,Pune,17.9 LPA,2-5,"Tableau, Power BI, Pandas, NumPy, SQL",BSc,Internship,160,383,2.9,Business,E-commerce,On Hold
152,Data Engineer,InsightIQ,Hyderabad,,1-3,"Excel, SQL, Statistics, NumPy, Python, Tableau",,Full Time,63,283,4.0,Data Engineering,Healthcare,On Hold
153,ML Engineer,SmartSoft,Delhi,1121561,Fresher,"Tableau, Excel, Statistics",BCA,Remote,163,304,2.7,Analytics,Healthcare,Closed
154,Data Scientist,TechNova,Bhopal,,Fresher,"Pandas, Azure, Machine Learning, Tableau",BSc,Internship,10,472,2.7,Business,E-commerce,Closed
155,BI Developer,DataCorp,Hyderabad,1591944,,"Pandas, Azure, SQL, Machine Learning, Tableau, Statistics",BCA,Contract,100,300,4.1,Analytics,Healthcare,On Hold
156,BI Developer,InsightIQ,Bhopal,1250789,Fresher,"Excel, Python, Azure, Statistics, NumPy, Pandas",,Internship,179,5,2.9,AI,E-commerce,On Hold
157,Data Engineer,VisionData,Bengaluru,547582,3-6,"Power BI, Machine Learning, Azure, Statistics, NumPy",B.Tech,Contract,147,321,2.7,Business,E-commerce,Closed
158,Data Scientist,AnalyticsHub,Indore,629902,Fresher,"NumPy, Power BI, Machine Learning",B.Tech,Internship,11,241,3.4,IT,Finance,Open
159,Data Scientist,TechNova,Pune,,0-2,"Excel, Machine Learning, Azure, NumPy, Statistics, Power BI",M.Tech,Full Time,102,35,4.7,AI,Healthcare,Closed
160,ML Engineer,SmartSoft,Mumbai,,3-6,"Statistics, NumPy, Python",MCA,Internship,139,389,4.5,IT,IT,Closed
161,Data Engineer,TechNova,Delhi,1633666,,"Excel, Statistics, Machine Learning",,Contract,26,105,3.8,IT,Retail,Closed
162,Data Engineer,SmartSoft,Bhopal,,3-6,"Power BI, Tableau, SQL",B.Tech,Internship,163,419,3.5,Data Engineering,E-commerce,Open
163,Data Engineer,SmartSoft,hyderabad ,,0-2,"Power BI, Excel, Tableau, Azure, Pandas, Statistics",B.Tech,Internship,34,399,4.4,Analytics,Finance,Open
164,SQL Developer,FutureAI,Chennai,11.0 LPA,1-3,"NumPy, Azure, Machine Learning, Excel",B.Tech,Full Time,40,413,4.2,Data Engineering,IT,Open
165,BI Developer,InsightIQ,Indore,,2-5,"Power BI, SQL, Excel, Azure, NumPy",MCA,Internship,24,236,2.8,IT,IT,Open
166,BI Developer,DataCorp,Indore,1140080,Fresher,"Excel, Power BI, Azure",BCA,Remote,32,47,4.8,AI,IT,Open
167,business analyst ,ByteWorks, indore ,,0-2,"Python, Power BI, Pandas, NumPy, Machine Learning, Excel",BSc,Contract,114,452,2.9,Data Engineering,E-commerce,On Hold
168,Power BI Developer,InsightIQ,Delhi,,0-2,"Tableau, NumPy, Pandas, Azure",,Internship,161,410,3.9,Analytics,Retail,On Hold
169,Business Analyst,TechNova,Mumbai,,3-6,"NumPy, Statistics, Azure, Power BI, Tableau",BCA,Full Time,71,29,4.5,Business,E-commerce,Closed
170,ML Engineer,VisionData,Mumbai,805734,,"Power BI, SQL, Excel, Machine Learning",BCA,Internship,60,303,3.3,AI,E-commerce,Open
171,Data Analyst,DataCorp, ,,0-2,"Azure, Power BI, Excel, Pandas, NumPy",M.Tech,Internship,5,269,3.7,AI,E-commerce,Open
172,Data Scientist,ByteWorks,Bhopal,5.2 LPA,1-3,"Machine Learning, Power BI, Azure, Python",,Remote,150,51,3.3,AI,Finance,Open
173,Power BI Developer,FutureAI,hyderabad ,6.3 LPA,0-2,"NumPy, Machine Learning, Power BI, Statistics, Tableau, Pandas",BCA,Full Time,179,485,3.9,Data Engineering,IT,Open
174,data engineer ,ByteWorks, indore ,14.2 LPA,5+,"Azure, Excel, SQL, Statistics, NumPy",B.Tech,Contract,114,5,3.2,IT,IT,Closed
